CaseID,OfficerID,OfficerName,Team,DateCreated,DateClosed,Status,ResolutionHours,SLA_Target_Hours,SLA_Met,CSAT
1001,O004,Officer 4,Team B,2024-04-26,2024-04-27,Closed,36,48,Yes,3.9
1002,O005,Officer 5,Team C,2024-04-24,,Open,73,48,,
1003,O005,Officer 5,Team C,2024-04-12,2024-04-14,Closed,60,48,No,4.7
1004,O003,Officer 3,Team B,2024-04-29,2024-05-02,Closed,74,48,No,4.3
1005,O003,Officer 3,Team B,2024-04-03,2024-04-03,Closed,16,48,Yes,4.3
1006,O001,Officer 1,Team A,2024-04-16,2024-04-16,Closed,4,48,Yes,4.8
1007,O002,Officer 2,Team A,2024-04-02,2024-04-04,Closed,55,48,No,4.2
1008,O003,Officer 3,Team B,2024-04-20,2024-04-21,Closed,46,48,Yes,4.9
1009,O004,Officer 4,Team B,2024-04-20,2024-04-20,Closed,20,48,Yes,3.7
1010,O002,Officer 2,Team A,2024-04-09,2024-04-11,Closed,49,48,No,4.5
1011,O005,Officer 5,Team C,2024-04-16,,Open,7,48,,
1012,O005,Officer 5,Team C,2024-04-10,2024-04-12,Closed,64,48,No,4.5
1013,O001,Officer 1,Team A,2024-04-29,2024-04-29,Closed,7,48,Yes,4.7
1014,O003,Officer 3,Team B,2024-04-20,2024-04-20,Closed,20,48,Yes,4.9
1015,O004,Officer 4,Team B,2024-04-04,2024-04-07,Closed,85,48,No,4.3
1016,O002,Officer 2,Team A,2024-04-20,2024-04-22,Closed,66,48,No,3.9
1017,O001,Officer 1,Team A,2024-04-06,2024-04-08,Closed,51,48,No,4.5
1018,O002,Officer 2,Team A,2024-04-17,2024-04-19,Closed,49,48,No,5.0
1019,O005,Officer 5,Team C,2024-04-27,,Open,73,48,,
1020,O002,Officer 2,Team A,2024-04-09,2024-04-10,Closed,41,48,Yes,4.7
1021,O005,Officer 5,Team C,2024-04-06,2024-04-06,Closed,23,48,Yes,3.9
1022,O005,Officer 5,Team C,2024-04-16,,Open,87,48,,
1023,O004,Officer 4,Team B,2024-04-09,2024-04-10,Closed,35,48,Yes,4.6
1024,O003,Officer 3,Team B,2024-04-05,2024-04-05,Closed,19,48,Yes,4.9
